"Sample Date","Facility","Species","Salvage","Loss","Acrefeet"
2022-02-23,CVP,2,0,0.00,1588
2000-12-27,CVP,2,0,0.00,8245
1999-09-10,CVP,2,0,0.00,8660
1996-11-01,SWP,2,0,0.00,11452
2012-10-04,CVP,2,0,0.00,8463
2002-11-26,CVP,2,0,0.00,8430
2002-01-12,SWP,2,0,0.00,14985
2014-08-01,CVP,2,0,0.00,1262
2018-03-21,CVP,2,16,10.88,5981
2009-02-24,CVP,2,8,5.44,5548
2003-12-02,CVP,2,0,0.00,8611
1997-03-23,CVP,2,0,0.00,9021
2017-04-29,SWP,2,0,0.00,8815
2018-09-03,SWP,2,0,0.00,12474
2003-02-18,CVP,2,0,0.00,8595
2008-06-17,SWP,2,0,0.00,1599
2014-03-25,CVP,2,0,0.00,1991
2007-03-03,CVP,2,84,57.12,8493
2004-01-01,CVP,2,0,0.00,8530
2011-02-26,CVP,2,0,0.00,7051
2018-02-22,CVP,2,0,0.00,1731
2019-10-03,CVP,2,0,0.00,6870
2006-09-13,SWP,2,0,0.00,14363
2003-09-01,SWP,2,0,0.00,13182
2017-11-09,CVP,2,0,0.00,3665
2013-05-22,CVP,2,12,8.16,1608
2001-09-29,SWP,2,0,0.00,7804
2001-03-26,SWP,2,87,376.71,11853
2003-02-14,CVP,2,0,0.00,7577
2005-03-07,CVP,2,0,0.00,8741
2021-06-02,SWP,2,NS,0.00,0
2021-11-25,SWP,2,NS,0.00,0
2012-01-18,CVP,2,0,0.00,3840
2017-04-15,CVP,2,0,0.00,7412
2019-01-08,SWP,2,0,0.00,5786
1993-12-03,SWP,2,0,0.00,11880
2008-12-21,SWP,2,0,0.00,2811
1994-03-23,CVP,2,12,8.16,3904
2022-06-30,CVP,2,0,0.00,1807
2006-12-06,CVP,2,0,0.00,7051
2010-08-19,CVP,2,0,0.00,8116
2020-12-05,CVP,2,0,0.00,1654
1995-04-28,CVP,2,24,16.32,7209
2004-10-02,SWP,2,0,0.00,3867
2013-07-02,SWP,2,4,17.32,13616
2002-05-29,SWP,2,0,0.00,1365
2012-10-26,SWP,2,0,0.00,12774
1993-10-28,SWP,2,0,0.00,13027
2013-02-09,SWP,2,0,0.00,2999
2011-01-29,CVP,2,0,0.00,6817
2021-01-15,SWP,2,0,0.00,2972
2021-05-16,SWP,2,0,0.00,511
2010-01-04,SWP,2,0,0.00,7654
1994-01-23,CVP,2,0,0.00,1596
2007-10-14,SWP,2,0,0.00,8338
2011-06-15,CVP,2,0,0.00,5894
2017-01-22,CVP,2,0,0.00,8027
2009-07-26,SWP,2,0,0.00,9967
2008-04-20,CVP,2,4,2.72,1663
2000-01-09,SWP,2,0,0.00,12181
2014-03-29,SWP,2,0,0.00,835
1997-02-02,SWP,2,0,0.00,4416
1994-03-11,CVP,2,24,16.32,3979
2002-05-13,SWP,2,0,0.00,1433
1998-12-22,CVP,2,0,0.00,579
2018-12-07,SWP,2,0,0.00,8913
2000-04-10,SWP,2,6,25.98,8119
2022-09-29,CVP,2,0,0.00,5406
2006-06-08,CVP,2,0,0.00,6625
2004-04-25,SWP,2,0,0.00,3087
2012-10-08,CVP,2,0,0.00,8450
2021-07-22,CVP,2,0,0.00,1599
2017-08-13,CVP,2,0,0.00,8639
2009-10-09,CVP,2,0,0.00,7752
1996-04-27,SWP,2,6,25.98,1537
2008-06-11,CVP,2,0,0.00,847
2017-03-09,CVP,2,0,0.00,7430
2014-09-09,CVP,2,0,0.00,1308
2015-04-04,CVP,2,0,0.00,1959
2020-06-21,CVP,2,0,0.00,6951
2020-07-18,SWP,2,0,0.00,6429
2005-12-29,CVP,2,0,0.00,8437
2019-05-19,CVP,2,0,0.00,1961
2014-12-20,SWP,2,0,0.00,4817
2018-11-06,SWP,2,0,0.00,3292
2020-06-16,SWP,2,0,0.00,1013
2005-03-15,SWP,2,3,12.99,2140
2003-05-16,CVP,2,0,0.00,1703
2009-04-20,SWP,2,4,17.32,2136
1999-07-25,SWP,2,0,0.00,13032
2004-05-10,SWP,2,0,0.00,2936
2012-05-17,SWP,2,NS,0.00,0
2016-09-21,CVP,2,0,0.00,6687
2021-01-03,SWP,2,0,0.00,2924
2002-01-28,SWP,2,7,30.31,13441
2020-10-25,SWP,2,0,0.00,560
2002-04-29,SWP,2,0,0.00,1184
2016-11-19,CVP,2,0,0.00,1937
2006-02-15,SWP,2,0,0.00,10645
2022-05-06,SWP,2,2,8.66,1045
2013-05-03,SWP,2,4,17.32,2050
2013-12-11,SWP,2,0,0.00,2940
2019-06-09,SWP,2,0,0.00,12841
2000-02-12,CVP,2,24,16.32,8215
2016-09-25,SWP,2,0,0.00,10029
2013-02-22,CVP,2,0,0.00,6079
2004-05-17,CVP,2,0,0.00,2035
2008-04-24,CVP,2,0,0.00,1644
2012-01-22,SWP,2,0,0.00,9760
2021-03-28,SWP,2,0,0.00,529
2010-06-23,SWP,2,0,0.00,5883
1999-10-23,SWP,2,0,0.00,6897
2018-04-01,SWP,2,8,34.64,6605
2021-02-20,SWP,2,0,0.00,5290
2003-06-11,CVP,2,0,0.00,8727
2004-12-19,SWP,2,0,0.00,12561
2000-10-24,CVP,2,0,0.00,8311
1999-12-23,SWP,2,0,0.00,8128
2020-03-22,CVP,2,8,5.44,7045
2020-05-08,CVP,2,0,0.00,1953
2015-11-05,SWP,2,0,0.00,2401
2000-03-30,SWP,2,0,0.00,12780
2004-12-30,CVP,2,0,0.00,7413
2005-09-15,CVP,2,0,0.00,8659
2007-04-08,SWP,2,2,8.66,4806
2010-09-23,CVP,2,0,0.00,8064
2018-05-03,CVP,2,0,0.00,1962
2007-10-15,SWP,2,0,0.00,8288
2001-10-12,SWP,2,0,0.00,691
1998-12-10,SWP,2,0,0.00,4497
2003-04-13,SWP,2,6,25.98,8643
2005-09-02,CVP,2,0,0.00,8801
2011-05-16,CVP,2,0,0.00,3721
2011-12-06,SWP,2,0,0.00,13284
2021-04-11,CVP,2,0,0.00,1593
1995-10-20,CVP,2,0,0.00,8638
2005-11-17,CVP,2,0,0.00,8463
2013-02-02,CVP,2,0,0.00,4762
2016-04-19,CVP,2,0,0.00,1975
2019-09-01,SWP,2,0,0.00,10491
2017-01-04,CVP,2,0,0.00,4984
2015-06-15,CVP,2,0,0.00,1310
2006-02-25,CVP,2,0,0.00,8452
2005-03-06,CVP,2,0,0.00,8681
2010-07-03,SWP,2,0,0.00,13129
1996-07-05,CVP,2,0,0.00,8876
2006-03-12,SWP,2,6,25.98,4843
1997-02-05,SWP,2,0,0.00,2283
2003-07-17,SWP,2,0,0.00,12942
2000-06-28,CVP,2,0,0.00,8371
2014-08-30,SWP,2,0,0.00,4812
2015-08-18,CVP,2,0,0.00,477
1998-07-13,SWP,2,0,0.00,1095
2011-06-03,CVP,2,4,2.72,8304
2017-12-17,CVP,2,0,0.00,8403
2010-09-03,CVP,2,0,0.00,8160
2011-12-31,SWP,2,0,0.00,7538
2020-09-17,SWP,2,0,0.00,4195
2011-06-11,CVP,2,0,0.00,5876
2020-08-15,CVP,2,0,0.00,8542
2018-04-25,CVP,2,0,0.00,1965
2000-01-13,SWP,2,0,0.00,11485
1998-06-17,SWP,2,0,0.00,1792
2016-01-28,CVP,2,0,0.00,4867
2007-01-10,CVP,2,0,0.00,8613
1995-01-31,SWP,2,30,129.90,15828
2003-10-17,CVP,2,0,0.00,8696
1999-11-06,SWP,2,0,0.00,7457
2015-04-11,CVP,2,0,0.00,1960
2014-05-28,CVP,2,0,0.00,1685
1996-10-23,SWP,2,0,0.00,7945
2009-03-16,SWP,2,12,51.96,6249
2000-11-20,SWP,2,0,0.00,16298
2017-08-03,CVP,2,0,0.00,8662
1996-01-29,CVP,2,192,130.56,8588
2009-06-24,SWP,2,0,0.00,441
2011-06-19,CVP,2,0,0.00,5896
2016-06-04,SWP,2,0,0.00,1446
1997-01-02,CVP,2,0,0.00,7674
1998-04-05,CVP,2,0,0.00,1450
2003-07-25,CVP,2,0,0.00,8641
2016-12-16,CVP,2,0,0.00,8067
2006-05-18,CVP,2,12,8.16,4508
1997-06-04,SWP,2,0,0.00,3473
2008-07-25,SWP,2,0,0.00,2848
2006-04-19,SWP,2,9,38.97,5525
2004-11-11,CVP,2,0,0.00,8586
2004-08-25,CVP,2,0,0.00,8813
1999-03-10,CVP,2,48,32.64,8627
2000-07-06,SWP,2,0,0.00,12078
2012-12-14,CVP,2,0,0.00,8769
2017-01-27,CVP,2,0,0.00,7972
2006-10-15,SWP,2,0,0.00,12780
2017-12-23,CVP,2,0,0.00,8353
2005-01-30,SWP,2,0,0.00,15155
2008-09-09,CVP,2,0,0.00,8673
2015-01-31,CVP,2,0,0.00,1938
1996-07-11,SWP,2,0,0.00,12405
1997-03-12,CVP,2,0,0.00,8647
1999-04-16,CVP,2,24,16.32,5101
2000-06-07,CVP,2,0,0.00,3277
2021-01-23,SWP,2,0,0.00,2939
1996-12-24,CVP,2,0,0.00,8130
2020-01-04,CVP,2,0,0.00,8074
2022-03-02,SWP,2,0,0.00,596
2006-07-19,CVP,2,0,0.00,8725
1996-07-12,CVP,2,0,0.00,8475
2013-05-31,SWP,2,0,0.00,1472
2016-11-29,CVP,2,0,0.00,7256
1999-03-19,CVP,2,20,13.60,8898
2011-04-10,SWP,2,0,0.00,11032
2012-02-25,SWP,2,4,17.32,2184
2017-02-24,CVP,2,0,0.00,7131
2018-07-23,SWP,2,0,0.00,4501
2006-12-09,CVP,2,0,0.00,8382
2001-01-29,CVP,2,12,8.16,5650
2001-07-11,SWP,2,0,0.00,8937
1996-09-22,CVP,2,0,0.00,8515
2015-04-27,CVP,2,0,0.00,1590
1998-04-22,CVP,2,0,0.00,3807
2018-08-06,CVP,2,0,0.00,8440
1996-02-20,SWP,2,32,138.56,7970
2012-01-26,CVP,2,0,0.00,6258
2009-09-17,SWP,2,0,0.00,5347
2019-09-21,CVP,2,0,0.00,8529
2002-06-10,SWP,2,0,0.00,6103
1999-10-11,CVP,2,0,0.00,8375
2010-01-11,SWP,2,0,0.00,6600
1997-12-29,CVP,2,0,0.00,8195
2021-08-26,CVP,2,0,0.00,1937
2022-02-21,SWP,2,0,0.00,383
2021-08-12,SWP,2,0,0.00,455
1997-07-28,CVP,2,0,0.00,8729
2015-04-15,SWP,2,0,0.00,1305
2015-10-27,CVP,2,0,0.00,1895
1997-10-29,SWP,2,0,0.00,3070
2013-05-14,SWP,2,0,0.00,2014
2009-01-06,CVP,2,0,0.00,5570
2009-11-21,CVP,2,0,0.00,3939
2016-07-04,CVP,2,0,0.00,1593
2006-06-03,SWP,2,9,38.97,9954
2018-03-10,CVP,2,0,0.00,5417
2002-11-10,SWP,2,0,0.00,3107
2013-06-08,CVP,2,0,0.00,1615
2020-09-23,CVP,2,0,0.00,8564
2020-10-27,SWP,2,0,0.00,2230
2014-04-27,SWP,2,0,0.00,926
1994-08-08,SWP,2,0,0.00,5050
1995-04-26,CVP,2,12,8.16,7296
2010-09-26,SWP,2,0,0.00,11872
2003-08-20,SWP,2,0,0.00,13957
1995-03-10,SWP,2,0,0.00,364
2022-03-19,SWP,2,0,0.00,821
2018-06-11,SWP,2,0,0.00,1900
2005-12-26,CVP,2,0,0.00,8533
2016-04-10,CVP,2,4,2.72,1985
2016-12-16,SWP,2,0,0.00,8757
2000-11-10,CVP,2,0,0.00,8263
2013-12-21,CVP,2,0,0.00,1951
2008-02-10,CVP,2,0,0.00,7263
1998-12-22,SWP,2,0,0.00,1242
2015-02-22,SWP,2,0,0.00,6519
2004-10-31,CVP,2,0,0.00,8938
1997-04-14,SWP,2,0,0.00,3482
1996-08-30,CVP,2,0,0.00,8672
2011-07-28,CVP,2,0,0.00,8331
1999-09-12,CVP,2,0,0.00,8621
2013-07-15,CVP,2,0,0.00,7309
2002-09-30,CVP,2,0,0.00,8559
2000-05-10,SWP,2,0,0.00,2361
2017-11-10,SWP,2,0,0.00,4965
2004-08-18,CVP,2,0,0.00,8827
2009-10-20,SWP,2,0,0.00,5209
2000-08-11,SWP,2,0,0.00,11597
2000-02-09,SWP,2,18,77.94,12722
2010-09-08,CVP,2,0,0.00,8143
2011-11-23,SWP,2,0,0.00,2705
2002-07-19,SWP,2,0,0.00,12294
2018-07-14,SWP,2,0,0.00,4174
1994-04-12,CVP,2,0,0.00,4266
2005-09-17,SWP,2,0,0.00,14618
2008-09-03,CVP,2,0,0.00,8672
2022-01-19,SWP,2,0,0.00,3140
2010-03-29,SWP,2,4,17.32,6995
2012-04-11,SWP,2,0,0.00,3458
2014-01-23,CVP,2,NS,0.00,0
2016-09-27,CVP,2,0,0.00,8410
2018-06-13,SWP,2,0,0.00,716
2020-09-02,SWP,2,0,0.00,3623
2015-12-12,SWP,2,0,0.00,373
2012-09-12,SWP,2,0,0.00,10894
2020-12-18,SWP,2,0,0.00,2098
2004-09-07,CVP,2,0,0.00,8725
1997-05-04,SWP,2,2,8.66,2433
1995-12-04,CVP,2,0,0.00,8681
2017-06-02,SWP,2,0,0.00,13180
2015-11-16,CVP,2,0,0.00,3784
1998-10-13,SWP,2,0,0.00,9087
2000-07-16,SWP,2,0,0.00,13767
2006-11-27,SWP,2,0,0.00,13163
2003-01-13,SWP,2,27,116.91,13890
1996-07-25,CVP,2,0,0.00,8906
2018-02-04,SWP,2,0,0.00,7200
2018-05-26,CVP,2,4,2.72,3694
2004-05-21,CVP,2,0,0.00,2013
2009-04-26,SWP,2,0,0.00,267
2013-11-24,SWP,2,0,0.00,3368
2018-02-03,CVP,2,0,0.00,5395
2002-01-27,CVP,2,24,16.32,8335
2013-06-26,CVP,2,0,0.00,1603
2005-05-28,SWP,2,0,0.00,10397
1995-06-22,CVP,2,0,0.00,8630
2019-04-13,SWP,2,1,4.33,1398
1994-11-23,SWP,2,0,0.00,5422
2021-12-13,CVP,2,0,0.00,3447
2008-07-07,SWP,2,0,0.00,6051
2010-03-19,CVP,2,4,2.72,6916
2001-01-06,SWP,2,0,0.00,11022
2009-01-25,CVP,2,0,0.00,3828
2019-05-14,SWP,2,NS,0.00,0
2022-04-17,CVP,2,0,0.00,1782
2003-12-06,SWP,2,0,0.00,3934
2011-03-15,SWP,2,1,4.33,5533
2010-12-25,SWP,2,0,0.00,17000
2019-11-09,SWP,2,0,0.00,2928
2005-07-29,CVP,2,0,0.00,8658
2018-01-15,CVP,2,0,0.00,7039
2009-08-01,SWP,2,0,0.00,9854
1993-10-06,CVP,2,0,0.00,8690
1998-10-19,CVP,2,0,0.00,8148
2021-01-18,CVP,2,0,0.00,1645
1993-11-06,SWP,2,0,0.00,741
2005-09-12,SWP,2,0,0.00,14376
2010-07-22,CVP,2,0,0.00,8423
2019-02-21,SWP,2,4,17.32,15053
2013-11-06,CVP,2,0,0.00,3882
2007-06-13,CVP,2,0,0.00,3984
2006-03-21,CVP,2,0,0.00,7383
2002-09-10,SWP,2,0,0.00,9744
2002-03-17,CVP,2,24,16.32,8333
1994-02-26,SWP,2,4,17.32,4420
2004-05-25,SWP,2,0,0.00,935
2022-07-24,CVP,2,0,0.00,5382
2006-04-16,SWP,2,0,0.00,10503
2005-04-01,SWP,2,0,0.00,7934
2000-11-17,CVP,2,0,0.00,8149
1995-10-09,CVP,2,0,0.00,8591
1995-08-17,SWP,2,0,0.00,8197
2009-08-10,CVP,2,0,0.00,7923
1998-05-17,SWP,2,0,0.00,1084
2017-07-03,CVP,2,0,0.00,4383
2022-04-01,CVP,2,0,0.00,1785
1993-10-11,CVP,2,0,0.00,8552
1999-10-22,SWP,2,0,0.00,6868
2018-06-06,CVP,2,0,0.00,5249
2005-03-21,CVP,2,0,0.00,7244
2016-09-14,CVP,2,0,0.00,6552
2017-09-07,CVP,2,0,0.00,8587
2009-10-06,CVP,2,0,0.00,8087
1998-08-10,CVP,2,0,0.00,8855
1997-10-09,SWP,2,0,0.00,10229
2016-02-27,CVP,2,0,0.00,6725
2007-11-30,CVP,2,0,0.00,7370
1999-03-14,SWP,2,12,51.96,11302
1999-03-09,SWP,2,4,17.32,6433
2007-03-22,CVP,2,36,24.48,7570
2012-06-12,SWP,2,0,0.00,3080
2013-11-29,SWP,2,0,0.00,2839
1995-06-05,CVP,2,12,8.16,8646
2008-11-10,SWP,2,0,0.00,4709
2016-03-26,CVP,2,0,0.00,4890
1997-04-13,CVP,2,0,0.00,8923
2007-03-28,CVP,2,60,40.80,5510
2018-10-11,SWP,2,0,0.00,4329
2010-06-13,CVP,2,3,2.04,5630
2017-04-13,CVP,2,0,0.00,7450
1998-11-01,SWP,2,0,0.00,12468
2004-03-24,SWP,2,0,0.00,10622
2004-10-01,CVP,2,0,0.00,8749
2008-08-12,CVP,2,0,0.00,5470
2013-05-20,CVP,2,0,0.00,1604
2012-11-06,SWP,2,0,0.00,3869
2009-09-29,CVP,2,0,0.00,8182
2002-08-22,CVP,2,0,0.00,8646
2020-11-11,CVP,2,0,0.00,1909
2003-06-13,CVP,2,0,0.00,8775
2010-11-06,SWP,2,0,0.00,3073
2013-02-26,SWP,2,0,0.00,3447
2019-01-06,SWP,2,0,0.00,3753
2011-03-05,SWP,2,4,17.32,8849
1997-07-29,SWP,2,0,0.00,12872
2000-10-07,CVP,2,0,0.00,8340
2009-02-01,SWP,2,0,0.00,2018
1996-05-13,CVP,2,0,0.00,1388
2015-11-05,CVP,2,0,0.00,3759
2000-02-02,SWP,2,1,4.33,14042
1997-10-09,CVP,2,0,0.00,8472
2020-05-20,SWP,2,NS,0.00,0
2005-02-09,CVP,2,0,0.00,8675
2001-11-03,SWP,2,0,0.00,5418
2004-02-09,SWP,2,8,34.64,12899
2016-11-24,CVP,2,0,0.00,5114
2000-06-18,SWP,2,0,0.00,5469
2010-01-27,SWP,2,0,0.00,7736
2010-02-10,SWP,2,35,151.55,6815
1994-02-05,CVP,2,12,8.16,6323
2004-08-02,SWP,2,0,0.00,13901
2008-08-13,SWP,2,0,0.00,3025
2000-06-30,SWP,2,0,0.00,10919
2018-08-21,CVP,2,0,0.00,8463
1994-07-04,CVP,2,0,0.00,3603
2017-08-31,SWP,2,0,0.00,13649
1994-01-19,SWP,2,0,0.00,7056
2003-07-02,SWP,2,0,0.00,13020
2008-09-17,CVP,2,0,0.00,7354
2005-10-29,CVP,2,0,0.00,8479
1997-12-13,CVP,2,0,0.00,8148
2021-09-27,CVP,2,0,0.00,5355
1997-06-03,SWP,2,0,0.00,3382
2011-04-17,CVP,2,0,0.00,4930
2022-03-09,SWP,2,0,0.00,821
2018-07-09,CVP,2,0,0.00,7057
2005-02-02,SWP,2,0,0.00,4271
2017-10-01,CVP,2,0,0.00,8665
2011-01-02,SWP,2,0,0.00,12520
2007-04-01,CVP,2,48,32.64,6639
2009-01-08,SWP,2,0,0.00,4907
2010-02-12,CVP,2,46,31.28,6882
2019-10-24,SWP,2,0,0.00,438
2018-07-18,CVP,2,0,0.00,8401
2010-03-23,CVP,2,0,0.00,5712
2015-03-25,SWP,2,0,0.00,1085
2011-05-26,CVP,2,0,0.00,1997
2007-02-18,SWP,2,0,0.00,4768
2010-07-11,CVP,2,0,0.00,6845
2001-01-19,SWP,2,6,25.98,4305
2004-10-10,CVP,2,0,0.00,8704
1996-09-09,SWP,2,0,0.00,12962
2013-08-27,SWP,2,0,0.00,14090
1998-09-21,SWP,2,0,0.00,8383
2000-06-08,CVP,2,0,0.00,3265
1996-07-02,CVP,2,0,0.00,8669
2001-01-24,CVP,2,0,0.00,7728
2020-04-04,SWP,2,0,0.00,1239
2019-09-22,SWP,2,0,0.00,13959
2022-04-22,SWP,2,0,0.00,1074
2001-02-11,SWP,2,0,0.00,5984
2005-12-17,SWP,2,0,0.00,12014
2020-02-19,SWP,2,0,0.00,2071
2016-08-25,SWP,2,0,0.00,13903
2019-02-28,SWP,2,0,0.00,6490
2003-08-06,SWP,2,0,0.00,13940
1996-02-03,SWP,2,12,51.96,1839
2018-03-18,CVP,2,12,8.16,5229
2000-03-15,CVP,2,12,8.16,7144
2019-03-09,CVP,2,0,0.00,5468
1999-12-22,SWP,2,0,0.00,6232
2000-08-04,SWP,2,0,0.00,13402
2015-06-01,CVP,2,0,0.00,1299
2020-02-07,SWP,2,0,0.00,5912
2020-08-21,CVP,2,0,0.00,8561
2007-09-28,CVP,2,0,0.00,8564
2000-01-29,CVP,2,24,16.32,7956
2013-03-05,CVP,2,0,0.00,5717
2009-02-26,SWP,2,2,8.66,6541
1994-05-31,CVP,2,0,0.00,3341
2019-02-04,SWP,2,0,0.00,5434
1994-04-22,CVP,2,0,0.00,2551
1995-07-13,CVP,2,0,0.00,8891
2010-09-30,SWP,2,0,0.00,13023
2006-05-22,CVP,2,0,0.00,5641
2018-10-26,CVP,2,0,0.00,7511
2019-11-04,SWP,2,0,0.00,3627
2022-08-08,SWP,2,0,0.00,1101
2011-05-19,CVP,2,0,0.00,1902
1995-11-18,SWP,2,0,0.00,209
2022-06-22,SWP,2,0,0.00,455
1997-07-19,SWP,2,0,0.00,11764
2005-08-15,CVP,2,0,0.00,8789
1998-06-27,SWP,2,0,0.00,8542
2002-09-21,CVP,2,0,0.00,8635
1997-09-13,CVP,2,0,0.00,8615
2001-09-10,CVP,2,0,0.00,8299
2001-07-09,SWP,2,0,0.00,7633
2008-03-31,CVP,2,4,2.72,1873
2011-12-02,CVP,2,0,0.00,7993
2006-04-29,SWP,2,0,0.00,8727
2013-01-10,CVP,2,NS,0.00,0
2016-11-05,SWP,2,0,0.00,12548
